2025-05-28 05:46:30,881 - INFO - [AUDIT] - ===== AUDIT LOG INITIALIZED =====
2025-05-28 05:46:30,883 - INFO - [AUDIT] - Model loaded from ppo_agent.pth
2025-05-28 05:46:30,883 - INFO - [AUDIT] - Safety mode transition: NORMAL -> SAFE_HOLD, Reason: Critical telemetry values detected: Low bus voltage: 0.00
2025-05-28 05:46:30,888 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,888 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,888 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,888 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,889 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,889 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,889 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,889 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,890 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,890 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,890 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,890 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,891 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,891 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,891 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
2025-05-28 05:46:30,891 - INFO - [AUDIT] - Action: 7, Confidence: 1.0000, Safety Mode: SAFE_HOLD, Override: Safe hold mode active, Fault Detected: True, Actual Fault: False
